Date,ProductID,StockReceived,StockSold,StockOnHand
2023-09-14,1,475,127,348
2023-02-11,2,487,243,244
2021-11-12,3,341,188,153
2021-11-15,4,500,124,376
2023-04-22,5,429,351,78
2022-12-08,2,79,61,18
2023-09-13,6,339,296,43
2023-07-19,7,305,53,252
2023-08-20,8,440,338,102
2023-07-15,9,260,254,6
2023-09-25,10,238,161,77
2022-05-06,11,121,13,108
2023-09-19,12,290,147,143
2022-10-19,13,319,94,225
2022-08-30,14,232,3,229
2023-01-25,13,250,130,120
2022-11-02,15,214,113,101
2023-07-29,16,412,41,371
2022-02-09,17,295,93,202
2023-04-25,13,356,147,209
2022-10-06,18,457,133,324
2023-09-20,19,346,269,77
2023-05-17,20,321,104,217
2022-04-19,21,210,10,200
2022-03-11,22,457,181,276
2023-03-15,23,253,65,188
2022-07-20,22,409,46,363
2023-07-03,24,486,26,460
2021-11-12,25,209,47,162
2023-04-05,26,100,40,60
2022-01-12,27,327,170,157
2022-01-22,28,427,169,258
2022-11-22,29,58,38,20
2022-03-25,30,349,161,188
2022-10-04,31,225,192,33
2021-10-27,32,312,194,118
2023-01-28,33,160,157,3
2022-01-13,34,147,69,78
2022-04-10,3,322,259,63
2021-12-10,26,154,35,119
2021-11-20,35,55,26,29
2022-02-16,36,438,22,416
2022-12-07,18,280,134,146
2022-11-09,37,223,168,55
2022-03-08,19,441,107,334
2023-06-10,11,143,42,101
2022-12-04,27,154,151,3
2022-12-13,10,479,105,374
2022-07-17,38,210,18,192
2022-10-31,24,142,20,122
2022-03-28,39,211,51,160
2022-11-05,40,427,49,378
2023-01-19,41,422,187,235
2021-11-18,15,471,357,114
2023-05-03,42,500,355,145
2022-12-11,43,157,35,122
2023-01-13,44,394,346,48
2023-05-16,45,330,100,230
2023-09-12,45,175,163,12
2023-03-29,24,260,158,102
2023-06-04,43,491,140,351
2022-01-28,31,254,116,138
2023-03-21,8,67,52,15
2023-05-08,46,484,395,89
2023-06-11,47,374,177,197
2023-06-01,29,193,102,91
2021-12-22,48,220,73,147
2023-01-14,49,286,222,64
2021-11-17,26,332,223,109
2022-07-21,22,125,6,119
2022-07-05,50,481,72,409
2022-05-13,51,281,111,170
2023-08-09,8,202,38,164
2022-06-30,52,71,11,60
2023-06-20,53,372,189,183
2023-03-10,54,66,35,31
2023-05-12,15,264,200,64
2022-01-05,7,332,301,31
2023-07-02,41,128,40,88
2023-02-16,11,432,346,86
2022-08-27,44,112,82,30
2022-11-09,55,487,104,383
2023-09-09,56,224,211,13
2023-01-30,57,243,235,8
2023-06-26,13,144,44,100
2022-10-17,24,282,191,91
2022-10-07,11,496,214,282
2023-04-22,58,484,281,203
2023-08-04,18,225,138,87
2023-06-19,5,474,5,469
2022-09-15,56,483,102,381
2023-03-01,49,405,114,291
2023-05-14,8,340,34,306
2023-03-29,17,134,43,91
2023-09-25,19,221,159,62
2023-05-12,59,365,122,243
2022-10-12,27,463,121,342
2023-01-18,60,417,272,145
2022-12-30,61,55,40,15
2022-07-22,62,381,78,303
2022-07-02,17,71,37,34
2023-03-22,18,400,90,310
2022-08-22,63,106,24,82
2021-10-18,43,358,162,196
2023-06-11,64,104,92,12
2022-06-23,65,247,43,204
2023-03-28,66,488,459,29
2022-12-21,60,411,304,107
2022-08-28,41,140,114,26
2022-03-01,8,293,126,167
2021-10-31,67,175,99,76
2022-12-31,29,500,380,120
2022-06-02,16,411,274,137
2023-03-26,5,151,115,36
2021-10-10,18,151,61,90
2023-02-17,43,362,212,150
2022-09-07,59,57,18,39
2022-03-18,49,414,305,109
2021-12-08,68,299,27,272
2022-07-19,4,396,272,124
2023-09-16,24,313,95,218
2023-06-12,30,311,28,283
2023-07-09,69,457,445,12
2022-07-09,70,148,98,50
2023-05-21,71,452,293,159
2022-09-12,72,276,107,169
2022-03-24,8,488,106,382
2023-09-26,73,380,137,243
2021-11-09,26,439,352,87
2021-12-15,60,302,29,273
2023-07-15,72,170,1,169
2022-11-14,57,266,29,237
2022-07-28,60,259,8,251
2022-04-18,56,73,31,42
2022-03-02,27,102,9,93
2023-06-23,39,422,159,263
2023-05-05,74,67,52,15
2022-03-24,56,284,240,44
2022-04-09,26,72,57,15
2022-06-14,75,131,57,74
2023-06-19,44,140,90,50
2023-07-19,76,415,83,332
2022-01-14,22,210,159,51
2022-09-29,13,486,358,128
2022-07-28,56,378,86,292
2023-06-28,13,263,101,162
2023-06-18,57,122,50,72
2022-04-11,59,372,76,296
2023-02-21,77,270,170,100
2022-04-22,42,371,62,309
2023-01-25,43,262,153,109
2023-05-01,15,369,313,56
2023-02-05,19,113,28,85
2023-09-06,19,216,164,52
2022-05-03,78,147,12,135
2022-11-22,27,291,153,138
2023-01-29,13,222,42,180
2023-03-16,4,228,38,190
2021-12-10,79,490,301,189
2022-10-24,80,440,54,386
2023-05-01,81,163,126,37
2022-04-18,51,369,165,204
2022-02-03,15,455,37,418
2021-12-24,46,121,23,98
2021-11-07,82,403,340,63
2023-03-02,83,333,156,177
2022-04-10,84,430,410,20
2021-11-19,8,258,248,10
2023-07-01,44,282,166,116
2022-01-21,27,312,5,307
2022-01-13,17,262,183,79
2022-04-04,18,439,31,408
2022-05-04,29,59,10,49
2023-04-07,85,354,131,223
2022-10-08,39,106,24,82
2022-03-29,4,460,426,34
2022-11-04,11,185,173,12
2022-01-07,56,420,31,389
2023-08-09,4,371,56,315
2023-04-13,44,222,208,14
2023-02-14,19,244,78,166
2021-12-11,43,93,29,64
2023-06-09,57,224,82,142
2023-07-03,26,267,157,110
2021-10-30,86,220,194,26
2023-01-31,19,207,197,10
2021-11-11,84,319,226,93
2023-01-26,87,392,189,203
2022-10-06,88,488,322,166
2021-10-15,43,307,288,19
2023-02-21,66,449,291,158
2022-12-10,27,118,51,67
2021-11-28,13,122,8,114
2022-01-25,17,380,221,159
2022-10-23,30,106,22,84
2022-10-27,18,143,66,77
2022-12-02,89,156,122,34
2023-09-02,90,380,251,129
2023-02-22,83,231,223,8
2023-02-24,39,289,71,218
2022-11-28,27,228,158,70
2023-04-01,29,387,335,52
2022-09-07,57,257,180,77
2023-04-25,64,92,8,84
2022-06-13,33,417,28,389
2023-06-26,91,157,36,121
2022-12-06,44,338,179,159
2023-09-23,22,239,62,177
2022-05-04,24,423,402,21
2023-09-22,26,290,239,51
2023-08-21,57,132,49,83
2023-02-19,1,335,88,247
2023-02-10,92,382,159,223
2022-09-27,5,484,65,419
2022-11-01,8,362,258,104
2022-09-18,11,333,231,102
2022-10-08,93,307,246,61
2022-11-10,94,182,168,14
2022-07-21,81,465,201,264
2022-11-13,95,137,8,129
2022-05-20,43,133,25,108
2021-11-09,81,168,65,103
2022-11-06,96,68,15,53
2022-01-12,83,356,55,301
2021-09-29,17,167,36,131
2022-03-20,22,183,70,113
2022-10-17,12,433,374,59
2022-04-03,26,376,229,147
2023-08-05,88,347,324,23
2021-11-24,86,479,241,238
2023-04-01,54,260,65,195
2022-03-20,56,271,218,53
2022-06-09,97,182,160,22
2023-09-12,5,450,365,85
2023-02-07,98,78,49,29
2022-08-04,99,315,200,115
2022-11-28,24,477,447,30
2022-05-20,3,53,14,39
2022-01-22,27,115,85,30
2022-09-08,44,162,55,107
2021-11-01,73,497,319,178
2022-04-08,17,154,9,145
2021-11-26,44,400,15,385
2021-11-19,7,357,210,147
2022-09-25,89,271,178,93
2023-07-26,57,386,226,160
2023-04-04,43,166,33,133
2021-10-22,100,438,90,348
2023-08-23,8,285,82,203
2022-06-20,101,79,29,50
2022-01-15,59,279,150,129
2022-11-08,81,492,234,258
2023-06-08,24,263,47,216
2022-04-09,44,114,91,23
2022-03-20,59,258,213,45
2022-05-11,29,143,133,10
2022-11-08,44,307,47,260
2023-06-11,4,234,42,192
2022-12-16,78,178,119,59
2023-05-06,82,120,7,113
2022-08-14,17,367,52,315
2021-11-26,27,318,58,260
2022-07-30,102,424,118,306
2022-07-16,32,125,33,92
2023-04-09,45,435,124,311
2021-10-09,69,244,145,99
2022-04-26,12,390,160,230
2022-10-23,43,458,330,128
2021-09-29,58,285,269,16
2023-06-08,103,202,133,69
2023-04-15,104,435,419,16
2021-10-29,44,444,428,16
2021-12-24,105,462,22,440
2022-06-07,4,302,6,296
2022-10-03,106,447,131,316
2022-11-15,24,342,300,42
2023-05-05,5,163,96,67
2023-02-15,107,184,118,66
2021-11-13,38,338,4,334
2022-05-23,108,72,65,7
2022-11-18,109,110,99,11
2022-05-14,22,339,88,251
2023-04-04,29,291,175,116
2021-10-24,24,281,150,131
2023-03-04,110,282,89,193
2023-02-16,24,176,133,43
2021-12-08,111,99,68,31
2023-07-01,44,470,397,73
2023-07-11,77,334,114,220
2023-05-29,13,157,58,99
2023-06-20,33,312,275,37
2023-02-24,13,391,385,6
2022-07-28,107,362,25,337
2022-07-01,11,210,85,125
2022-10-22,29,112,27,85
2022-02-17,22,351,343,8
2022-09-05,44,260,97,163
2022-05-16,4,316,257,59
2023-09-08,26,446,439,7
2023-08-10,29,223,47,176
2022-11-27,56,375,273,102
2022-07-30,24,63,46,17
2022-01-23,112,113,103,10
2023-03-22,17,401,260,141
2022-02-19,113,339,112,227
2023-05-01,11,53,52,1
2023-04-25,27,428,200,228
2023-08-01,114,152,6,146
2023-02-23,29,131,2,129
2022-05-18,115,393,28,365
2023-01-05,24,333,246,87
2022-09-04,11,75,38,37
2022-08-13,24,256,170,86
2023-04-27,56,290,195,95
2023-02-09,19,457,436,21
2023-01-25,11,339,171,168
2023-01-07,116,248,74,174
2023-01-20,117,120,75,45
2022-06-03,13,141,39,102
2022-03-13,31,142,64,78
2022-06-28,118,472,332,140
2023-05-14,119,351,118,233
2022-08-10,82,120,78,42
2022-10-04,43,416,390,26
2023-02-23,56,270,181,89
2021-12-05,29,483,442,41
2022-09-18,120,171,87,84
2023-07-16,49,398,232,166
2022-10-10,17,55,53,2
2022-08-29,62,194,178,16
2022-08-22,121,293,116,177
2021-10-25,122,299,235,64
2023-08-06,4,333,181,152
2022-03-14,51,168,134,34
2023-03-04,75,70,5,65
2021-11-19,5,105,36,69
2023-05-10,123,220,146,74
2022-05-16,114,336,196,140
2023-03-05,124,205,88,117
2022-07-14,125,101,45,56
2022-12-01,33,207,47,160
2022-12-22,8,97,7,90
2022-08-18,15,278,99,179
2023-04-03,15,265,78,187
2022-03-02,24,271,129,142
2022-05-23,4,290,130,160
2022-07-25,24,348,152,196
2021-10-07,13,219,46,173
2023-05-27,126,90,35,55
2021-10-30,127,138,31,107
2022-01-18,44,239,144,95
2022-12-07,17,449,191,258
2022-09-16,22,410,177,233
2022-02-01,5,188,176,12
2022-08-24,8,50,20,30
2022-07-23,56,332,82,250
2022-03-16,128,462,102,360
2022-01-26,24,132,24,108
2022-12-19,8,163,131,32
2022-05-03,114,306,84,222
2023-04-03,129,374,288,86
2023-06-04,39,455,304,151
2023-04-21,93,219,164,55
2023-02-10,130,341,56,285
2023-07-08,26,454,177,277
2022-05-13,5,345,229,116
2023-08-21,98,163,160,3
2022-02-07,17,473,311,162
2022-06-28,17,440,321,119
2022-02-28,56,410,190,220
2022-03-05,53,198,140,58
2022-05-18,19,247,43,204
2022-06-15,131,421,177,244
2021-12-25,113,366,316,50
2022-04-07,15,127,93,34
2023-08-19,56,94,27,67
2022-12-10,11,156,40,116
2023-06-17,85,186,43,143
2023-06-05,4,295,201,94
2021-11-29,57,296,25,271
2022-12-12,43,445,265,180
2022-07-08,29,154,133,21
2022-04-27,60,465,247,218
2023-04-24,132,362,67,295
2023-07-01,26,257,129,128
2023-08-31,101,468,134,334
2023-02-16,48,290,61,229
2022-04-03,8,110,4,106
2021-10-14,26,79,78,1
2022-09-07,24,340,317,23
2021-12-03,43,386,67,319
2023-09-10,8,376,288,88
2022-01-26,60,316,312,4
2023-01-23,31,337,92,245
2023-02-10,125,195,154,41
2023-02-17,27,273,8,265
2023-02-19,39,131,2,129
2022-05-09,5,189,187,2
2023-07-05,17,403,395,8
2023-05-03,64,177,26,151
2021-12-08,133,58,39,19
2023-08-07,13,495,230,265
2022-04-25,8,233,46,187
2023-02-04,56,471,75,396
2023-09-05,126,182,149,33
2023-08-09,116,367,8,359
2022-07-07,50,480,395,85
2022-03-07,27,321,131,190
2023-06-20,119,428,288,140
2021-10-28,15,405,377,28
2023-04-17,1,63,25,38
2022-06-22,11,211,50,161
2022-11-29,4,262,195,67
2022-12-29,29,407,64,343
2022-02-18,107,428,44,384
2021-10-26,69,482,267,215
2022-07-29,29,469,110,359
2023-06-13,43,349,128,221
2022-10-06,15,434,340,94
2022-12-09,17,70,55,15
2021-10-02,17,423,351,72
2023-05-27,134,345,235,110
2022-01-10,17,324,216,108
2023-08-10,56,427,256,171
2023-05-28,109,330,321,9
2022-08-17,60,130,55,75
2023-08-10,13,421,333,88
2022-07-22,135,177,70,107
2022-09-15,4,252,223,29
2022-02-14,87,109,38,71
2021-11-29,13,98,67,31
2022-07-08,57,363,141,222
2023-09-21,118,81,62,19
2021-10-07,11,420,372,48
2023-02-20,13,355,156,199
2023-08-08,130,465,69,396
2023-02-19,26,159,100,59
2021-11-09,135,333,233,100
2022-07-31,35,396,7,389
2022-03-21,136,57,23,34
2023-07-18,137,323,178,145
2022-12-16,29,297,293,4
2023-05-16,138,92,79,13
2023-08-18,26,313,216,97
2022-02-27,65,401,3,398
2021-12-07,39,448,299,149
2022-08-16,93,395,154,241
2022-01-06,11,496,187,309
2023-07-14,39,340,200,140
2022-09-30,86,183,165,18
2022-11-24,89,325,99,226
2023-01-23,17,62,10,52
2023-04-02,1,184,158,26
2022-10-14,53,262,173,89
2023-01-13,59,93,67,26
2022-04-25,56,104,21,83
2022-09-30,52,404,4,400
2021-12-17,139,77,62,15
2022-10-29,4,199,175,24
2023-01-19,39,198,43,155
2023-01-14,4,351,93,258
2022-10-05,140,333,307,26
2021-10-06,19,87,64,23
2021-11-14,17,118,104,14
2022-12-05,77,361,187,174
2023-07-01,47,152,68,84
2022-04-19,27,160,115,45
2022-02-28,54,436,237,199
2023-07-15,27,464,25,439
2022-03-29,141,126,119,7
2023-08-17,4,496,80,416
2023-05-17,64,324,307,17
2023-02-14,29,454,30,424
2022-06-19,17,122,12,110
2023-04-22,29,325,142,183
2022-06-03,37,430,43,387
2022-02-12,11,341,239,102
2023-04-26,26,190,20,170
2022-07-15,24,312,10,302
2021-10-15,114,77,69,8
2022-08-17,103,107,81,26
2022-05-24,8,84,2,82
2023-09-09,65,148,81,67
2023-03-16,24,51,42,9
2023-08-30,69,366,211,155
2021-11-08,56,53,26,27
2022-03-16,44,183,182,1
2022-11-22,142,468,418,50
2022-02-09,56,230,147,83
2023-05-27,5,74,8,66
2023-05-03,26,164,55,109
2023-01-15,11,364,362,2
2023-03-19,42,443,84,359
2023-09-16,18,283,157,126
2023-02-14,56,141,52,89
2022-02-08,26,388,370,18
2021-12-21,143,364,249,115
2023-05-29,22,70,39,31
2023-01-22,5,447,108,339
2022-04-22,22,133,98,35
2023-03-19,43,317,99,218
2022-08-08,144,338,307,31
2022-06-23,29,379,98,281
2022-10-04,44,402,11,391
2023-08-11,43,312,7,305
2023-03-16,44,227,94,133
2021-10-28,24,173,102,71
2022-03-17,19,366,290,76
2022-02-12,145,348,18,330
2022-09-13,56,290,96,194
2022-10-14,15,239,129,110
2022-11-04,91,148,71,77
2022-07-24,85,337,82,255
2022-03-07,22,232,79,153
2021-12-01,22,252,200,52
2023-06-20,17,211,177,34
2022-06-17,56,324,280,44
2023-09-17,111,103,28,75
2023-04-03,8,360,345,15
2022-01-25,15,157,58,99
2023-09-01,27,478,439,39
2021-10-26,8,147,143,4
2023-07-21,66,380,355,25
2023-05-08,29,86,83,3
2022-12-16,26,207,162,45
2022-03-11,26,439,430,9
2022-12-15,19,206,85,121
2022-09-19,138,131,126,5
2022-05-13,11,161,130,31
2023-07-05,57,258,245,13
2023-07-10,15,71,7,64
2021-10-29,10,127,42,85
2023-04-17,146,191,46,145
2022-02-22,33,81,14,67
2023-07-25,15,482,473,9
2021-12-13,26,92,6,86
2023-06-22,5,409,211,198
2021-12-01,101,397,162,235
2022-07-02,43,270,9,261
2021-10-27,101,258,167,91
2023-07-29,19,225,38,187
2023-05-08,122,458,151,307
2022-03-04,29,108,14,94
2022-01-30,29,472,325,147
2021-09-30,8,303,76,227
2022-03-14,147,262,220,42
2022-08-26,44,287,105,182
2022-10-14,18,183,79,104
2022-11-10,43,104,7,97
2023-09-19,148,499,54,445
2023-03-14,13,307,94,213
2022-06-18,26,188,17,171
2023-03-09,22,303,7,296
2022-03-07,56,237,237,0
2022-01-05,19,437,245,192
2023-04-03,17,74,36,38
2023-04-12,18,200,166,34
2023-09-05,13,443,203,240
2021-10-28,114,214,9,205
2022-01-11,27,150,128,22
2022-11-08,48,195,143,52
2023-05-03,27,351,252,99
2021-12-15,77,490,14,476
2023-08-06,8,337,231,106
2022-06-10,31,148,114,34
2023-02-05,15,233,87,146
2022-05-14,11,482,27,455
2022-11-17,145,67,56,11
2022-10-31,121,333,86,247
2022-02-16,44,378,249,129
2022-07-30,60,352,97,255
2023-07-17,149,489,90,399
2022-06-19,4,196,15,181
2022-12-31,43,466,213,253
2021-11-23,150,320,34,286
2022-07-30,133,128,74,54
2023-07-06,151,352,159,193
2022-04-30,114,432,173,259
2022-09-09,56,326,211,115
2023-04-02,60,313,39,274
2022-08-04,152,384,188,196
2022-12-30,153,487,341,146
2023-09-18,29,81,53,28
2022-01-05,44,168,6,162
2023-07-07,8,372,173,199
2022-07-09,97,206,172,34
2022-12-24,13,205,35,170
2023-03-04,22,175,127,48
2021-10-31,39,336,75,261
2022-07-15,99,262,240,22
2022-05-07,154,452,236,216
2022-11-28,24,419,151,268
2021-10-06,34,269,8,261
2022-06-20,90,428,238,190
2022-08-11,123,67,39,28
2023-08-20,4,118,110,8
2022-09-03,57,60,16,44
2022-01-26,46,79,71,8
2023-07-05,132,60,15,45
2023-07-12,132,209,190,19
2021-12-24,134,120,67,53
2022-04-18,155,448,21,427
2022-10-16,44,130,129,1
2022-11-28,75,185,21,164
2023-01-31,63,106,65,41
2022-01-25,82,146,80,66
2022-02-06,25,337,190,147
2023-09-08,15,159,145,14
2021-10-29,156,125,49,76
2023-06-25,153,141,77,64
2023-06-04,26,57,50,7
2022-03-02,153,159,159,0
2022-08-24,56,498,270,228
2022-03-13,26,204,204,0
2023-04-09,1,332,48,284
2022-06-04,89,203,126,77
2022-07-09,97,412,230,182
2022-06-04,157,274,201,73
2023-03-18,61,122,38,84
2023-06-28,56,238,80,158
2023-02-28,152,188,150,38
2023-01-07,24,210,187,23
2022-04-14,158,414,409,5
2022-02-01,64,247,122,125
2023-01-14,89,56,52,4
2022-10-21,159,219,154,65
2022-09-18,29,305,232,73
2021-12-30,12,221,221,0
2023-07-13,39,230,217,13
2023-02-03,128,352,113,239
2021-11-24,17,270,150,120
2022-12-20,27,73,63,10
2022-03-21,134,222,50,172
2022-06-26,13,331,17,314
2022-05-05,11,465,294,171
2023-09-02,17,442,152,290
2023-03-30,17,348,248,100
2023-02-28,60,213,55,158
2022-04-19,99,384,357,27
2023-09-13,160,252,245,7
2021-11-28,118,306,305,1
2023-01-05,39,354,332,22
2022-11-28,5,295,167,128
2023-05-14,27,294,209,85
2022-08-31,22,370,349,21
2022-02-26,161,281,190,91
2022-03-16,98,185,67,118
2023-04-15,11,378,354,24
2021-10-06,25,251,131,120
2022-12-10,4,134,19,115
2023-09-23,24,334,142,192
2022-03-27,26,477,420,57
2022-01-02,2,176,33,143
2021-12-08,24,364,17,347
2022-05-03,162,270,130,140
2022-01-28,38,441,369,72
2023-08-27,15,197,87,110
2021-11-17,18,118,90,28
2022-07-07,105,332,249,83
2023-07-12,5,376,270,106
2022-01-11,5,294,37,257
2023-04-17,163,377,18,359
2023-09-04,19,233,167,66
2022-06-09,13,489,87,402
2023-05-22,24,346,131,215
2022-06-22,4,114,7,107
2023-02-15,24,497,281,216
2022-11-02,5,403,259,144
2023-04-06,42,210,85,125
2023-04-18,57,332,66,266
2023-07-06,6,60,60,0
2023-08-19,63,432,372,60
2022-09-10,45,252,146,106
2022-08-05,164,158,65,93
2021-12-31,130,479,214,265
2023-01-17,165,296,260,36
2023-07-21,13,324,86,238
2022-02-01,129,463,167,296
2021-11-07,17,454,334,120
2022-08-21,57,63,50,13
2022-08-03,71,491,351,140
2023-05-31,49,79,55,24
2022-12-17,128,78,5,73
2021-12-23,75,105,22,83
2023-09-12,130,265,77,188
2023-03-26,56,211,84,127
2023-01-30,57,268,115,153
2022-12-14,60,406,375,31
2023-01-01,27,227,99,128
2023-06-07,84,459,400,59
2022-08-29,60,401,162,239
2023-07-18,78,351,323,28
2021-11-23,57,91,23,68
2021-10-16,57,491,383,108
2023-06-27,13,346,60,286
2022-03-13,57,376,123,253
2023-05-25,48,164,33,131
2022-12-06,166,492,281,211
2023-04-24,5,301,128,173
2022-07-02,98,142,84,58
2022-09-05,11,229,222,7
2022-02-26,39,138,35,103
2021-11-19,167,336,32,304
2022-08-27,19,362,140,222
2022-02-14,168,275,45,230
2023-08-19,169,115,86,29
2023-05-29,8,137,52,85
2022-02-25,43,372,134,238
2021-11-16,86,99,15,84
2022-06-13,8,403,14,389
2022-09-04,56,207,203,4
2022-07-15,5,338,89,249
2023-05-06,130,372,329,43
2023-01-24,43,55,13,42
2023-03-03,19,328,3,325
2022-07-26,24,408,48,360
2021-12-14,44,446,274,172
2023-03-09,11,51,42,9
2021-12-08,2,315,122,193
2022-02-10,170,495,308,187
2022-09-05,60,131,49,82
2022-06-26,171,250,165,85
2022-12-10,30,227,183,44
2023-01-27,119,194,14,180
2023-07-16,15,137,100,37
2023-05-15,46,185,175,10
2022-02-28,128,215,124,91
2021-12-08,26,103,64,39
2022-07-28,43,378,71,307
2023-04-18,57,384,30,354
2021-11-07,81,335,317,18
2023-03-01,35,409,408,1
2023-04-29,4,382,108,274
2023-07-01,129,426,34,392
2022-08-17,166,403,245,158
2023-08-04,4,59,2,57
2021-11-27,56,435,62,373
2022-05-11,26,441,113,328
2022-04-04,122,309,169,140
2022-04-22,18,273,198,75
2023-09-13,57,396,294,102
2023-08-15,44,138,137,1
2023-03-23,8,390,20,370
2023-01-17,64,82,17,65
2022-10-24,67,442,20,422
2022-09-21,41,171,10,161
2022-04-11,56,491,469,22
2022-11-25,19,65,29,36
2022-03-03,11,233,62,171
2023-03-05,44,300,271,29
2022-03-03,44,165,73,92
2022-04-12,93,424,89,335
2023-09-26,43,426,171,255
2022-10-09,112,72,67,5
2023-01-12,11,282,39,243
2023-08-19,60,151,62,89
2022-03-05,126,418,376,42
2022-03-15,88,211,154,57
2023-01-01,26,187,7,180
2021-12-10,120,499,49,450
2022-10-24,7,430,384,46
2023-04-29,29,72,14,58
2022-11-27,44,185,31,154
2021-11-15,18,340,303,37
2023-05-12,11,494,248,246
2023-04-30,46,214,40,174
2022-03-15,126,133,86,47
2022-12-31,121,234,133,101
2023-05-31,22,411,133,278
2022-06-15,27,313,295,18
2022-06-22,77,245,113,132
2022-06-06,26,380,349,31
2023-08-31,4,220,27,193
2022-01-20,26,154,148,6
2021-12-13,5,77,71,6
2022-09-30,150,55,52,3
2023-01-13,5,201,128,73
2022-07-01,108,129,118,11
2022-04-05,172,369,215,154
2022-01-19,29,383,209,174
2022-03-19,19,154,152,2
2022-11-29,145,90,85,5
2022-01-09,173,57,1,56
2021-11-26,11,335,310,25
2023-05-03,174,78,5,73
2021-09-28,125,171,118,53
2023-02-25,19,308,150,158
2023-07-19,11,127,78,49
2023-09-19,175,260,216,44
2022-11-24,150,314,176,138
2022-01-14,43,369,183,186
2023-05-21,19,429,302,127
2023-08-02,113,60,29,31
2022-11-29,11,315,244,71
2022-12-21,27,453,51,402
2022-10-10,121,124,66,58
2023-03-23,22,108,71,37
2023-07-14,79,313,91,222
2022-03-18,130,115,57,58
2023-05-11,45,314,227,87
2022-04-24,87,397,40,357
2022-12-24,22,247,141,106
2022-09-05,22,290,22,268
2021-11-20,33,362,160,202
2022-05-04,4,221,108,113
2023-03-26,83,53,34,19
2021-12-19,166,345,133,212
2023-03-31,113,132,20,112
2022-03-08,103,393,364,29
2021-11-10,130,372,86,286
2023-02-07,33,456,114,342
2021-12-28,19,145,117,28
2023-06-15,130,473,292,181
2021-10-31,8,401,312,89
2023-06-09,60,364,329,35
2021-11-24,30,245,25,220
2021-12-13,113,141,42,99
2023-03-17,60,338,332,6
2023-03-18,8,226,35,191
2022-12-15,176,268,64,204
2021-10-29,56,280,121,159
2023-05-11,177,403,142,261
2023-04-06,88,500,155,345
2022-08-30,8,311,262,49
2023-07-25,45,240,118,122
2023-06-07,13,196,61,135
2023-02-02,120,437,424,13
2022-07-27,22,246,87,159
2022-11-22,22,218,25,193
2022-12-19,59,428,89,339
2022-08-27,17,445,393,52
2022-06-11,18,78,60,18
